"","study_name","sample_number","species","region","island","stage","individual_id","clutch_completion","date_egg","culmen_length_mm","culmen_depth_mm","flipper_length_mm","body_mass_g","sex"
"18","PAL0708",18,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N71A2","No",2007-11-30,58,17.8,181,3700,"Female"
"19","PAL0708",19,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N72A1","Yes",2007-11-30,46.4,18.6,190,3450,"Female"
"20","PAL0708",20,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N72A2","Yes",2007-11-30,49.2,18.2,195,4400,"Male"
"21","PAL0708",21,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N73A1","Yes",2007-12-03,42.4,17.3,181,3600,"Female"
"22","PAL0708",22,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N73A2","Yes",2007-12-03,48.5,17.5,191,3400,"Male"
"23","PAL0708",23,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N85A1","No",2007-11-28,43.2,16.6,187,2900,"Female"
"24","PAL0708",24,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N85A2","No",2007-11-28,50.6,19.4,193,3800,"Male"
"25","PAL0708",25,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N89A1","No",2007-11-28,46.7,17.9,195,3300,"Female"
"26","PAL0708",26,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N89A2","No",2007-11-28,52,19,197,4150,"Male"
"27","PAL0809",27,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N61A1","No",2008-11-25,50.5,18.4,200,3400,"Female"
"28","PAL0809",28,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N61A2","No",2008-11-25,49.5,19,200,3800,"Male"
"29","PAL0809",29,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N62A1","Yes",2008-11-14,46.4,17.8,191,3700,"Female"
"30","PAL0809",30,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N62A2","Yes",2008-11-14,52.8,20,205,4550,"Male"
"31","PAL0809",31,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N63A1","Yes",2008-11-24,40.9,16.6,187,3200,"Female"
"32","PAL0809",32,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N63A2","Yes",2008-11-24,54.2,20.8,201,4300,"Male"
"33","PAL0809",33,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N65A1","Yes",2008-11-24,42.5,16.7,187,3350,"Female"
"34","PAL0809",34,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N65A2","Yes",2008-11-24,51,18.8,203,4100,"Male"
"35","PAL0809",35,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N67A1","Yes",2008-11-25,49.7,18.6,195,3600,"Male"
"36","PAL0809",36,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N67A2","Yes",2008-11-25,47.5,16.8,199,3900,"Female"
"37","PAL0809",37,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N69A1","Yes",2008-11-14,47.6,18.3,195,3850,"Female"
"38","PAL0809",38,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N69A2","Yes",2008-11-14,52,20.7,210,4800,"Male"
"39","PAL0809",39,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N72A1","No",2008-11-24,46.9,16.6,192,2700,"Female"
"40","PAL0809",40,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N72A2","No",2008-11-24,53.5,19.9,205,4500,"Male"
"41","PAL0809",41,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N74A1","Yes",2008-11-24,49,19.5,210,3950,"Male"
"42","PAL0809",42,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N74A2","Yes",2008-11-24,46.2,17.5,187,3650,"Female"
"43","PAL0809",43,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N75A1","Yes",2008-11-14,50.9,19.1,196,3550,"Male"
"44","PAL0809",44,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N75A2","Yes",2008-11-14,45.5,17,196,3500,"Female"
"45","PAL0910",45,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N86A1","Yes",2009-11-17,50.9,17.9,196,3675,"Female"
"46","PAL0910",46,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N86A2","Yes",2009-11-17,50.8,18.5,201,4450,"Male"
"47","PAL0910",47,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N87A1","Yes",2009-11-27,50.1,17.9,190,3400,"Female"
"48","PAL0910",48,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N87A2","Yes",2009-11-27,49,19.6,212,4300,"Male"
"49","PAL0910",49,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N88A1","Yes",2009-11-23,51.5,18.7,187,3250,"Male"
"50","PAL0910",50,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N88A2","Yes",2009-11-23,49.8,17.3,198,3675,"Female"
"51","PAL0910",51,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N90A1","Yes",2009-11-21,48.1,16.4,199,3325,"Female"
"52","PAL0910",52,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N90A2","Yes",2009-11-21,51.4,19,201,3950,"Male"
"53","PAL0910",53,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N92A1","Yes",2009-11-23,45.7,17.3,193,3600,"Female"
"54","PAL0910",54,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N92A2","Yes",2009-11-23,50.7,19.7,203,4050,"Male"
"55","PAL0910",55,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N93A1","Yes",2009-11-27,42.5,17.3,187,3350,"Female"
"56","PAL0910",56,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N93A2","Yes",2009-11-27,52.2,18.8,197,3450,"Male"
"57","PAL0910",57,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N94A1","Yes",2009-11-21,45.2,16.6,191,3250,"Female"
"58","PAL0910",58,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N94A2","Yes",2009-11-21,49.3,19.9,203,4050,"Male"
"59","PAL0910",59,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N95A1","Yes",2009-11-21,50.2,18.8,202,3800,"Male"
"60","PAL0910",60,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N95A2","Yes",2009-11-21,45.6,19.4,194,3525,"Female"
"61","PAL0910",61,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N96A1","Yes",2009-11-27,51.9,19.5,206,3950,"Male"
"62","PAL0910",62,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N96A2","Yes",2009-11-27,46.8,16.5,189,3650,"Female"
"63","PAL0910",63,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N98A1","Yes",2009-11-19,45.7,17,195,3650,"Female"
"64","PAL0910",64,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N98A2","Yes",2009-11-19,55.8,19.8,207,4000,"Male"
"65","PAL0910",65,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N99A1","No",2009-11-21,43.5,18.1,202,3400,"Female"
"66","PAL0910",66,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N99A2","No",2009-11-21,49.6,18.2,193,3775,"Male"
"67","PAL0910",67,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N100A1","Yes",2009-11-21,50.8,19,210,4100,"Male"
"68","PAL0910",68,"Chinstrap","Anvers","Dream","Adult, 1 Egg Stage","N100A2","Yes",2009-11-21,50.2,18.7,198,3775,"Female"
